user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
160288335,Unturned,Call of Duty Black Ops II - Multiplayer,PAYDAY The Heist,Batman Arkham Origins,The Binding of Isaac,Realm of the Mad God,Dark Souls Prepare to Die Edition,Portal 2,Call of Duty Black Ops II,Half-Life 2 Episode Two,Tom Clancy's Ghost Recon Phantoms - EU,Pro Evolution Soccer 2014,Call of Duty Black Ops II - Zombies,Block N Load,Star Trek Online,World of Guns Gun Disassembly,LEGO The Lord of the Rings,Half-Life 2,The Long Dark,Sid Meier's Civilization III Complete
46055854,Saints Row The Third,Call of Duty Modern Warfare 3,Dying Light,Call of Duty World at War,H1Z1,Sniper Ghost Warrior,Call of Duty Black Ops II - Zombies,Duke Nukem Forever,Wolfenstein The New Order,Reign Of Kings,Call of Duty Ghosts - Multiplayer,Saints Row IV,Just Cause 2,Call of Duty Black Ops II,Total War ATTILA,Call of Duty Modern Warfare 3 - Multiplayer,Call of Duty Black Ops,Cities Skylines,Sniper Elite 3,Total War ROME II - Emperor Edition
171067153,Left 4 Dead 2,BioShock Infinite,Insurgency,Arma 2 Operation Arrowhead,Fallout New Vegas,Dead Island,Rocket League,Unturned,DayZ,PAYDAY 2,Fallout 4,Terraria,METAL GEAR SOLID V THE PHANTOM PAIN,Counter-Strike Global Offensive,Killing Floor,Hitman Absolution,Saints Row The Third,Call of Duty Black Ops II - Multiplayer,Starbound,PAYDAY The Heist
35701646,Half-Life 2 Episode Two,Mafia II,Half-Life,Half-Life 2 Episode One,Terraria,Assassin's Creed II,Ori and the Blind Forest,The Witcher 2 Assassins of Kings Enhanced Edition,Castle Crashers,BioShock Infinite,Half-Life 2 Lost Coast,Dead Space,Dishonored,DayZ,War Thunder,Magic The Gathering  Duels of the Planeswalker...,BioShock,Portal,The Elder Scrolls III Morrowind,Crysis 2 Maximum Edition
117022366,Heroes & Generals,No More Room in Hell,Warface,BLOCKADE 3D,H1Z1,Blacklight Retribution,Defiance,R.U.S.E,theHunter,Test Drive Unlimited 2,Call of Duty World at War,Aftermath,GRID,Grand Theft Auto IV,Robocraft,Call of Duty Modern Warfare 3,Unturned,Assetto Corsa,Mafia II,Neverwinter
131785763,Heroes & Generals,APB Reloaded,Dead Island Epidemic,AdVenture Capitalist,No More Room in Hell,Team Fortress 2,PAYDAY 2,Unturned,The Elder Scrolls V Skyrim,Garry's Mod,Left 4 Dead 2,Tom Clancy's Ghost Recon Phantoms - NA,Counter-Strike Global Offensive,GunZ 2 The Second Duel,Warframe,Counter-Strike Source,The Mighty Quest For Epic Loot,War Thunder,Nosgoth,Sid Meier's Civilization V
42771635,Guns of Icarus Online,Cities Skylines,RPG Maker VX Ace,Deus Ex Human Revolution,The Elder Scrolls IV Oblivion,Age of Empires II HD Edition,Alien Swarm,Orcs Must Die!,Age of Empires III Complete Collection,ARK Survival Evolved,Half-Life 2 Episode One,The Binding of Isaac,Amnesia The Dark Descent,Tabletop Simulator,South Park The Stick of Truth,"Warhammer 40,000 Dawn of War II - Chaos Rising",Serious Sam HD The Second Encounter,Torchlight,This War of Mine,Antichamber
223064225,BLOCKADE 3D,Unturned,Robocraft,Counter-Strike Source,Warface,Loadout,Heroes & Generals,War Thunder,Garry's Mod,Goat Simulator,Team Fortress 2,The Escapists,Stranded Deep,Warframe,BeamNG.drive,No More Room in Hell,World of Guns Gun Disassembly,Mitos.is The Game,theHunter,The Elder Scrolls V Skyrim
42657809,Call of Juarez Gunslinger,Call of Duty Modern Warfare 2 - Multiplayer,Call of Duty Modern Warfare 3 - Multiplayer,Tropico 3 - Steam Special Edition,Assassin's Creed III,Overlord,FINAL FANTASY VIII,Sid Meier's Civilization V,Team Fortress 2,Call of Duty Modern Warfare 2,Hitman Absolution,The Elder Scrolls V Skyrim,Call of Duty Black Ops - Multiplayer,Left 4 Dead,Homefront,Fable - The Lost Chapters,BioShock 2,Thief,Spec Ops The Line,Overlord II
27099151,Day of Defeat Source,Half-Life 2 Deathmatch,Half-Life 2 Lost Coast,Alien Swarm,Age of Empires II HD Edition,Counter-Strike Source,Half-Life 2,Counter-Strike Condition Zero,Half-Life,Age of Chivalry,Half-Life 2 Episode One,Synergy,Insurgency Modern Infantry Combat,Call of Duty 4 Modern Warfare,Left 4 Dead,Age of Empires III Complete Collection,Half-Life 2 Episode Two,DC Universe Online,War Thunder,Half-Life Opposing Force
95325409,HuniePop,Fallout 4,BioShock Infinite,Middle-earth Shadow of Mordor,Torchlight II,Far Cry 3,Saints Row The Third,NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full B...,L.A. Noire,BioShock 2,Just Cause 2,The Walking Dead Season Two,Max Payne 3,Fable - The Lost Chapters,Dead Island,Worms Revolution,Metro 2033,Tomb Raider,Hitman Absolution,Sleeping Dogs
42061089,Dead Island,Path of Exile,Loadout,Dungeon Defenders II,PlanetSide 2,Trine 2,Alien Swarm,SpeedRunners,Magic Duels,Chivalry Medieval Warfare,Clicker Heroes,Saints Row IV,SMITE,Portal 2,Call of Duty Black Ops II - Multiplayer,Nosgoth,Injustice Gods Among Us Ultimate Edition,ORION Prelude,The Binding of Isaac Rebirth,The Mighty Quest For Epic Loot
2110581,Alien Swarm,The Elder Scrolls V Skyrim,Grand Theft Auto IV,Left 4 Dead 2,Fallout New Vegas,Sid Meier's Civilization V,Call of Duty Black Ops,Team Fortress 2,Counter-Strike Global Offensive,Half-Life 2,Half-Life 2 Episode One,Battlefield Bad Company 2,Counter-Strike Source,Portal 2,Half-Life 2 Episode Two,Call of Duty Modern Warfare 2 - Multiplayer,Half-Life 2 Deathmatch,Serious Sam HD The Second Encounter,Chivalry Medieval Warfare,Call of Duty Modern Warfare 2
136495026,ARK Survival Evolved,Torchlight II,Cities Skylines,DayZ,Rocket League,The Witcher 3 Wild Hunt,Might & Magic Heroes VI,Middle-earth Shadow of Mordor,Magicka,Left 4 Dead 2,Anno 2070,DARK SOULS II Scholar of the First Sin,Far Cry 3,Portal 2,Company of Heroes 2,Sid Meier's Civilization V,FTL Faster Than Light,Mafia II,XCOM Enemy Unknown,Kerbal Space Program
106170243,GunZ 2 The Second Duel,Mortal Kombat Komplete Edition,Dead Island Epidemic,Elsword,APB Reloaded,Cry of Fear,Double Action Boogaloo,Toribash,Outlast,DC Universe Online,Unturned,Amnesia The Dark Descent,Fistful of Frags,Loadout,Town of Salem,METAL GEAR SOLID V THE PHANTOM PAIN,Blacklight Retribution,Tom Clancy's Ghost Recon Phantoms - NA,SMITE,Thief
26762388,Homefront,Medal of Honor(TM) Single Player,Homeworld Remastered Collection,Euro Truck Simulator 2,Magic The Gathering  Duels of the Planeswalker...,Titan Quest,Sniper Elite V2,Alien Swarm,Fable III,Assassin's Creed,RIFT,Red Faction Armageddon,Injustice Gods Among Us Ultimate Edition,Vampire The Masquerade - Bloodlines,BRINK,F.E.A.R. 2 Project Origin,Red Orchestra 2 Heroes of Stalingrad - Single ...,Command and Conquer Red Alert 3,Tom Clancy's Splinter Cell Conviction,Overlord II
79073449,The Elder Scrolls III Morrowind,Divinity Original Sin,South Park The Stick of Truth,Portal 2,The Elder Scrolls IV Oblivion,Endless Legend,Child of Light,Unturned,Fallout 3 - Game of the Year Edition,Garry's Mod,The Long Dark,Endless Space,Tomb Raider,Fallout 4,STAR WARS Knights of the Old Republic II The S...,Sid Meier's Civilization V,Alan Wake,Assassin's Creed Brotherhood,Call of Duty Black Ops II - Multiplayer,Risen 2 - Dark Waters
30912860,Amnesia The Dark Descent,Audiosurf,DC Universe Online,Alien Swarm,Saints Row 2,Left 4 Dead,Source Filmmaker,Half-Life 2 Lost Coast,Dungeons of Dredmor,Legend of Grimrock,The Secret World,Bastion,Mark of the Ninja,This War of Mine,Synergy,Crypt of the NecroDancer,Insurgency Modern Infantry Combat,Ori and the Blind Forest,"Warhammer 40,000 Dawn of War II  Retribution",Natural Selection 2
58830050,Call of Duty Ghosts,Grand Theft Auto IV,Call of Duty Ghosts - Multiplayer,Call of Duty Black Ops,Half-Life 2 Episode Two,Half-Life 2 Episode One,Half-Life 2,Battlefield Bad Company 2,Call of Duty Modern Warfare 3,Call of Duty Black Ops - Multiplayer,Grand Theft Auto Episodes from Liberty City,Portal 2,Assassin's Creed III,Portal,Call of Duty World at War,Tomb Raider,Neverwinter,Call of Duty Black Ops II,Sniper Ghost Warrior 2,Sniper Ghost Warrior
165101762,Dirty Bomb,No More Room in Hell,Trove,The Forest,Warface,Loadout,Clicker Heroes,Rocket League,Unturned,PAYDAY 2,Just Cause 2 Multiplayer Mod,Sid Meier's Civilization V,Counter-Strike Nexon Zombies,DayZ,Garry's Mod,Arma 3,Rust,War Thunder,Counter-Strike Global Offensive,Far Cry 3
30440303,Arma 2 Operation Arrowhead,Wolfenstein The New Order,Max Payne 3,Half-Life,BioShock Infinite,Insurgency,Arma 2,Star Wars - Battlefront II,Call of Duty Modern Warfare 3,METAL GEAR SOLID V THE PHANTOM PAIN,Grand Theft Auto Episodes from Liberty City,Dark Souls Prepare to Die Edition,Tom Clancy's Splinter Cell Conviction,Half-Life 2 Episode Two,Outlast,Just Cause 2,Half-Life Opposing Force,Call of Duty Modern Warfare 2,Sniper Elite V2,Metro 2033
58931437,Half-Life 2,Star Wars - Battlefront II,Cities Skylines,Portal,Plants vs. Zombies Game of the Year,Magicka,XCOM Enemy Unknown,Borderlands 2,BioShock,Portal 2,Torchlight II,Half-Life 2 Episode One,LEGO Worlds,Dragon Age Origins,Age of Empires III Complete Collection,Half-Life 2 Episode Two,Middle-earth Shadow of Mordor,Rust,Orcs Must Die!,Garry's Mod
154174570,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
78341587,Killing Floor,H1Z1,Grand Theft Auto V,Duke Nukem Forever,Metro 2033,Mirror's Edge,Amnesia The Dark Descent,Dead Space,Left 4 Dead,Saints Row 2,Mafia II,Crysis,Portal,Audiosurf,Far Cry 3,Need for Speed Hot Pursuit,Portal 2,Wolfenstein The New Order,Darksiders,Trine
561758,Unturned,Unreal Tournament 3 Black Edition,F.E.A.R. 3,Homefront,Red Faction Armageddon,Tom Clancy's Splinter Cell Conviction,F.E.A.R. 2 Project Origin,Insurgency Modern Infantry Combat,Serious Sam HD The Second Encounter,Alien Swarm,Mafia II,Call of Duty 4 Modern Warfare,Grand Theft Auto Episodes from Liberty City,Deus Ex Human Revolution,Worms Reloaded,Assassin's Creed II,Duke Nukem Forever,Trine,Call of Duty Black Ops - Multiplayer,Spec Ops The Line
257603009,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
55761025,Grand Theft Auto IV,Call of Duty Modern Warfare 3 - Multiplayer,Call of Duty Modern Warfare 3,Duke Nukem Forever,H1Z1,Call of Duty World at War,Aliens vs. Predator,Portal 2,Sid Meier's Civilization V,Saints Row The Third,Just Cause 2,Grand Theft Auto Episodes from Liberty City,Sniper Elite V2,Call of Duty Modern Warfare 2 - Multiplayer,The Elder Scrolls V Skyrim,DC Universe Online,Torchlight,Metro 2033,RIFT,Portal
58907890,Counter-Strike Source,Team Fortress 2,Borderlands 2,Alien Swarm,Terraria,The Elder Scrolls V Skyrim,Grand Theft Auto V,Garry's Mod,XCOM Enemy Unknown,"Warhammer 40,000 Dawn of War II",PAYDAY 2,Rust,Warframe,War Thunder,Far Cry 3,Sid Meier's Civilization V,Dead Island,Chivalry Medieval Warfare,Magicka,Torchlight II
111142411,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
182229935,Left 4 Dead 2,Heroes & Generals,theHunter,Tom Clancy's Ghost Recon Phantoms - EU,Brawlhalla,PAYDAY The Heist,Warface,Don't Starve Together Beta,Sid Meier's Civilization V,PlanetSide 2,Rising Storm/Red Orchestra 2 Multiplayer,Team Fortress 2,Unturned,World of Guns Gun Disassembly,Robocraft,Counter-Strike Source,Realm of the Mad God,Clicker Heroes,War Thunder,The Elder Scrolls V Skyrim
26729643,Guns of Icarus Online,Mafia II,Half-Life,Age of Empires II HD Edition,ARK Survival Evolved,Cities Skylines,Super Meat Boy,The Binding of Isaac,Tabletop Simulator,Half-Life 2 Episode One,The Ship,Half-Life 2 Episode Two,Left 4 Dead 2,Dino D-Day,Age of Empires III Complete Collection,Portal 2,Deus Ex Human Revolution,Blacklight Retribution,Realm of the Mad God,The Escapists
50275189,Team Fortress 2,Counter-Strike Source,Garry's Mod,The Elder Scrolls V Skyrim,Left 4 Dead 2,Warframe,PAYDAY 2,Unturned,Borderlands 2,Sid Meier's Civilization V,Rust,War Thunder,Counter-Strike,Terraria,Alien Swarm,Heroes & Generals,DC Universe Online,Half-Life 2 Deathmatch,Fallout New Vegas,Age of Empires II HD Edition
190073388,Don't Starve Together Beta,Heroes & Generals,Brawlhalla,BattleBlock Theater,Dota 2,Counter-Strike Global Offensive,SpeedRunners,The Binding of Isaac,Hero Siege,No More Room in Hell,NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full B...,SMITE,DARK SOULS II,Rust,FreeStyle2 Street Basketball,Resident Evil Revelations 2 / Biohazard Revela...,Resident Evil 6 / Biohazard 6,Castle Crashers,Aura Kingdom,Sakura Clicker
202298227,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
72627862,Left 4 Dead,The Elder Scrolls V Skyrim,Call of Duty Modern Warfare 2,Team Fortress 2,Sid Meier's Civilization V,Call of Duty Modern Warfare 2 - Multiplayer,Portal 2,Euro Truck Simulator 2,Left 4 Dead 2,DC Universe Online,Call of Duty Modern Warfare 3 - Multiplayer,Portal,Sniper Elite V2,Call of Duty Modern Warfare 3,Counter-Strike Global Offensive,Alien Swarm,Counter-Strike Source,Warframe,Grand Theft Auto IV,Half-Life 2
194305157,Counter-Strike Global Offensive,Left 4 Dead 2,Sid Meier's Civilization V,Fallout New Vegas,The Elder Scrolls V Skyrim,H1Z1,Rocket League,Call of Duty Modern Warfare 2 - Multiplayer,DayZ,Rust,Arma 2 Operation Arrowhead,Mount & Blade Warband,Euro Truck Simulator 2,Dota 2,Tomb Raider,No More Room in Hell,7 Days to Die,Counter-Strike,Team Fortress 2,Call of Duty Black Ops II - Multiplayer
50229934,Grand Theft Auto V,Company of Heroes 2,Just Cause 2,Saints Row The Third,ARK Survival Evolved,H1Z1,Portal 2,Saints Row IV,Portal,Fallout New Vegas,Borderlands The Pre-Sequel,Torchlight II,Banished,L.A. Noire,Cities Skylines,Tropico 4,Killing Floor,Magicka,Kerbal Space Program,Call of Duty Black Ops
105503045,The Witcher 3 Wild Hunt,Middle-earth Shadow of Mordor,Fallout 3 - Game of the Year Edition,Hitman Absolution,DARK SOULS II,BioShock Infinite,FINAL FANTASY VII,Tomb Raider,Starbound,BioShock,The Witcher 2 Assassins of Kings Enhanced Edition,Goat Simulator,BioShock 2,The Forest,Assassin's Creed IV Black Flag,Rust,Far Cry 3,ARK Survival Evolved,Star Wars - Battlefront II,Dishonored
95898619,Counter-Strike Global Offensive,Fallout New Vegas,Dead Island,Sid Meier's Civilization V,Left 4 Dead 2,The Elder Scrolls V Skyrim,DayZ,Dying Light,Rust,BioShock Infinite,Saints Row The Third,Saints Row IV,Far Cry 3,Tomb Raider,Call of Duty Modern Warfare 2,Counter-Strike,L.A. Noire,Grand Theft Auto V,Just Cause 2,Terraria
75463760,Stronghold 3,ARK Survival Evolved,Rust,Cities Skylines,Prison Architect,Euro Truck Simulator 2,Project Zomboid,Anno 2070,RIFT,Total War ROME II - Emperor Edition,Banished,Sid Meier's Civilization V,Total War SHOGUN 2,Star Wars - Battlefront II,Crusader Kings II,RollerCoaster Tycoon 3 Platinum!,Robocraft,Company of Heroes 2,Besiege,Counter-Strike Global Offensive
274410276,Dota 2,Team Fortress 2,Garry's Mod,Warframe,Counter-Strike Global Offensive,Sid Meier's Civilization V,The Elder Scrolls V Skyrim,Counter-Strike Source,Counter-Strike,FreeStyle2 Street Basketball,Left 4 Dead 2,Empire Total War,Clicker Heroes,War Thunder,Trove,Natural Selection 2,Free to Play,Company of Heroes (New Steam Version),Football Manager 2015,Grand Theft Auto V
51085779,Garry's Mod,Insurgency,Hitman Absolution,Warface,PAYDAY 2,Left 4 Dead 2,LEGO Worlds,Arma 2,Counter-Strike Source,Team Fortress 2,DARK SOULS II Scholar of the First Sin,Rising Storm/Red Orchestra 2 Multiplayer,PlanetSide 2,Half-Life 2,Counter-Strike,Counter-Strike Condition Zero,FINAL FANTASY VII,Tom Clancy's Ghost Recon Phantoms - EU,Company of Heroes,Middle-earth Shadow of Mordor
155082814,Dota 2,Team Fortress 2,Garry's Mod,Warframe,Counter-Strike Global Offensive,Sid Meier's Civilization V,The Elder Scrolls V Skyrim,Counter-Strike Source,Counter-Strike,FreeStyle2 Street Basketball,Left 4 Dead 2,Empire Total War,Clicker Heroes,War Thunder,Trove,Free to Play,Natural Selection 2,Company of Heroes (New Steam Version),Football Manager 2015,Grand Theft Auto V
190708114,Robocraft,World of Guns Gun Disassembly,Euro Truck Simulator 2,Warface,FreeStyle2 Street Basketball,Red Crucible Firestorm,Transformice,HAWKEN,Mitos.is The Game,Heroes & Generals,theHunter,Tactical Intervention,Trove,Magic Duels,Insurgency,War Thunder,GRID 2,Arma 2,Loadout,Unturned
62486194,Empire Total War,Call of Duty 4 Modern Warfare,Age of Chivalry,Call of Duty Black Ops,Total War ATTILA,Day of Defeat Source,Total War SHOGUN 2,Dead Island,Alien Swarm,Sniper Ghost Warrior,Counter-Strike Source,Battlefield Bad Company 2,Call of Duty Black Ops - Multiplayer,Call of Duty Ghosts - Multiplayer,Call of Duty Ghosts,Half-Life 2,R.U.S.E,Half-Life 2 Deathmatch,Wargame European Escalation,Reign Of Kings
158495272,Dota 2,Garry's Mod,Team Fortress 2,Unturned,Warframe,Sid Meier's Civilization V,Counter-Strike Source,The Elder Scrolls V Skyrim,Left 4 Dead 2,Counter-Strike Global Offensive,Borderlands 2,Counter-Strike Nexon Zombies,Counter-Strike,Trove,BLOCKADE 3D,No More Room in Hell,Football Manager 2013,Warface,Call of Duty Modern Warfare 3 - Multiplayer,FreeStyle2 Street Basketball
