name,all_reviews,developer,publisher,popular_tags,game_details,genre,mature_content,minimum_requirements,original_price
for the king,"Very Positive,(4,600),- 83% of the 4,600 user reviews for this game are positive.",IronOak Games,"Curve Digital,Curve Digital","RPG,Turn-Based Combat,Adventure,Online Co-Op,Co-op,Strategy,Rogue-like,Turn-Based,Multiplayer,Turn-Based Strategy,Party-Based RPG,Indie,Fantasy,Board Game,Strategy RPG,Hex Grid,Rogue-lite,Difficult,Local Co-Op,Early Access","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Indie,RPG,Strategy",,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7 / 8 / 8.1 / 10 x64,Processor:,Intel Core2 Duo E4300 (2 * 1800) / AMD Athlon Dual Core 4450e (2 * 2300) or equivalent,Memory:,4096 MB RAM,Graphics:,GeForce 8800 GTX (768 MB) / Intel HD 4600 / Radeon HD 3850 (512 MB),DirectX:,Version 9.0c,Storage:,3 GB available space,Minimum:,Requires a 64-bit processor and operating system,OS:,OSX 10.10.5 Yosemite or higher,Processor:,Intel Core i5-2520M (2 * 2500),Memory:,4096 MB RAM,Graphics:,GeForce GT 750M (1024 MB),Storage:,3 GB available space,Minimum:,Requires a 64-bit processor and operating system,OS:,Ubuntu 17.10 (x64) or Mint 18.3 (Cinnamon) (x64) or Ubuntu 16.04 (x64),Processor:,Intel Core2 Duo E4300 (2 * 1800) / AMD Athlon Dual Core 4450e (2 * 2300) or equivalent,Memory:,4096 MB RAM,Graphics:,GeForce 8800 GTX (768 MB) / Intel HD 4600 or equivalent,Storage:,3 GB available space",$19.99 
danganronpa v3: killing harmony,"Very Positive,(3,547),- 84% of the 3,547 user reviews for this game are positive.","Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.,Spike Chunsoft Co., Ltd.","Story Rich,Anime,Visual Novel,Detective,Mystery,Great Soundtrack,Female Protagonist,Singleplayer,Adventure,Psychological Horror,Dark Humor,Horror,Dark Comedy,Puzzle,Atmospheric,Memes,Dark,Funny,Comedy,Dating Sim","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Adventure,,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7 64-bit,Processor:,Intel Core i3-4170 @ 3.70GHz,Memory:,4 GB RAM,Graphics:,NVIDIA@ GeForce@ GTX 460 or better,DirectX:,Version 11,Storage:,26 GB available space,Sound Card:,DirectX compatible soundcard or onboard chipset",$39.99 
tera,"Mostly Positive,(14,184),- 78% of the 14,184 user reviews for this game are positive.","Bluehole, Inc.","En Masse Entertainment,En Masse Entertainment","Free to Play,MMORPG,Massively Multiplayer,RPG,Open World,Action,Fantasy,Adventure,Anime,Third Person,Character Customization,Action RPG,Multiplayer,Co-op,PvP,Hack and Slash,PvE,Cute,Controller,Nudity","Multi-player,MMO,Co-op,Steam Trading Cards,Partial Controller Support","Action,Adventure,Free to Play,Massively Multiplayer,RPG"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: General Mature Content  ","Minimum:,OS:,Windows 7, 32-bit,Processor:,Intel i3 2130 / AMD FX 4130,Memory:,4 GB RAM,Graphics:,GeForce 9800 GT / Radeon HD 3870,DirectX:,Version 9.0c,Network:,Broadband Internet connection,Storage:,45 GB available space",Free to Play
call of duty®: modern warfare® remastered,"Mixed,(1,118),- 51% of the 1,118 user reviews for this game are positive.","Raven Software,Beenox","Activision,Activision","FPS,Action,Shooter,Multiplayer,Violent,War,Singleplayer,First-Person,Military,Remake,Controller,Casual,Classic","Single-player,Online Multi-Player,Online Co-op,Steam Achievements",Action,,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7 64-Bit or later,Processor:,Intel Core i3-3225 @ 3.30GHz or equivalent,Memory:,8 GB RAM,Graphics:,NVIDIA GeForce GTX 660 2GB / AMD Radeon HD 7850 2GB,DirectX:,Version 11,Network:,Broadband Internet connection,Sound Card:,DirectX 11 Compatible,Additional Notes:,Disk space requirement may change over time.",1.02
stonehearth,"Mostly Positive,(5,484),- 75% of the 5,484 user reviews for this game are positive.",Radiant Entertainment,"(none),(none)","City Builder,Building,Sandbox,Strategy,Survival,Simulation,Crafting,Voxel,Early Access,Indie,Singleplayer,Open World,RPG,Management,Multiplayer,Fantasy,Cute,Adventure,God Game,RTS","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Steam Trading Cards,Steam Workshop","Indie,Simulation,Strategy",,"Minimum:,OS:,Windows 7/8/8.1/10 (32-bit or 64-bit),Processor:,Intel or AMD Dual-Core, 1.7 GHz+,Memory:,4 GB RAM,Graphics:,nVidia GeForce GT 430 512MB, Radeon HD 7570M, Intel HD 4000,Storage:,2 GB available space,Additional Notes:,OS Updates: Windows 7 SP1,Minimum:,OS:,macOS 10.11 (El Capitan) or later,Processor:,Intel Core i5 1.7GHz,Memory:,8 GB RAM,Graphics:,Radeon HD 5870 or GeForce 630, or Intel HD Graphics 4000,Storage:,2 GB available space",$19.99 
hearts of iron iv: mobilization pack,,Paradox Development Studio,Paradox Interactive,,"Single-player,Multi-player,Online Multi-Player,Co-op,Cross-Platform Multiplayer,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","Simulation,Strategy",,,
clone drone in the danger zone,"Very Positive,(1,901),- 94% of the 1,901 user reviews for this game are positive.",Doborog Games,"Doborog Games,Doborog Games","Early Access,Robots,Action,Swordplay,Fighting,Early Access,Indie,Funny,Singleplayer,Voxel,Futuristic,Pixel Graphics,Multiplayer,Third Person,Comedy,Difficult,Survival,Dark Humor,Philisophical,Rogue-like","Single-player,Multi-player,Online Multi-Player,Steam Achievements,Full controller support,Captions available,Steam Workshop,Steam Cloud,Includes level editor","Action,Indie,Early Access",,,$14.99 
god eater 3,"Mostly Positive,(1,945),- 77% of the 1,945 user reviews for this game are positive.",BANDAI NAMCO Studios Inc.,"BANDAI NAMCO Entertainment,BANDAI NAMCO Entertainment","Anime,Action,Character Customization,Co-op,Hunting,Hack and Slash,JRPG,Multiplayer,RPG,Singleplayer,Great Soundtrack,Post-apocalyptic,Online Co-Op,Third Person,Story Rich,Action RPG,Adventure,Female Protagonist","Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",Action,,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7 64-bit, SP1,Processor:,Intel Core i5-3470 or AMD FX-8120,Memory:,4 GB RAM,Graphics:,GeForce GTX 760 or Radeon R9 290X,DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,25 GB available space",$59.99 
war robots,"Mixed,(1,797),- 44% of the 1,797 user reviews for this game are positive.",Pixonic,"Pixonic,Pixonic","Free to Play,Robots,Action,Multiplayer,FPS,Mechs,Massively Multiplayer,Shooter,PvP,Controller,Third-Person Shooter,Co-op,War","Multi-player,Online Multi-Player,Steam Trading Cards,In-App Purchases","Action,Free to Play",,"Minimum:,OS:,Windows 7,Processor:,2.5 GHz,Memory:,2 GB RAM,Graphics:,Intel HD Graphics 4000,DirectX:,Version 10,Storage:,1500 MB available space",Free To Play
halo wars: definitive edition,"Very Positive,(2,442),- 88% of the 2,442 user reviews for this game are positive.","Ensemble Studios,Behaviour Interactive,343 Industries","Xbox Game Studios,Xbox Game Studios","Strategy,RTS,Sci-fi,Singleplayer,Multiplayer,War,Base Building,Action,Co-op,Great Soundtrack,Military,Simulation,Aliens,Classic,Masterpiece,Online Co-Op,Atmospheric,Sandbox,Tactical,Story Rich","Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Steam Leaderboards",Strategy,,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7 SP1 64-bit or higher,Processor:,Intel Core i3 or Equivalent,Memory:,4 GB RAM,Graphics:,Intel HD Graphics 4200 NVIDIA GeForce GT 740M AMD Radeon R5 M240,DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,12 GB available space",$19.99 
call of duty®: black ops,"Very Positive,(4,190),- 84% of the 4,190 user reviews for this game are positive.",Treyarch,"Activision,Activision","Action,FPS,Zombies,Multiplayer,Shooter,Singleplayer,Cold War,First-Person,War,Military,Online Co-Op,Co-op,Gore,Story Rich,Adventure,Controller,Linear,Masterpiece,Horror,Massively Multiplayer","Single-player,Multi-player,Co-op,Steam Achievements,Partial Controller Support,Valve Anti-Cheat enabled",Action,,,1.02
phoenix wright: ace attorney trilogy / 逆転裁判123 成歩堂セレクション,"Very Positive,(382),- 97% of the 382 user reviews for this game are positive.","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.,CAPCOM Co., Ltd.","Visual Novel,Story Rich,Great Soundtrack,Detective,Anime,Mystery,Adventure,Singleplayer,Funny,Classic,Puzzle,Crime,Point & Click,Comedy,Conversation,Dynamic Narration,Cult Classic,Casual,Sexual Content","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",Adventure,,"Minimum:,OS:,WINDOWS® 7, 8.1, 10 (64bit),Processor:,Intel® Core™ i3-4160,Memory:,4 GB RAM,Graphics:,Intel® HD Graphics 4400,DirectX:,Version 11,Storage:,1.8 GB available space,Additional Notes:,*Recommended Controller Xbox 360 Controller (Windows®7/8.1) Xbox One Wireless Controller (Windows®10)",$29.99 
team sonic racing™,"Mostly Positive,(487),- 70% of the 487 user reviews for this game are positive.",Sumo Digital,"SEGA,SEGA","Racing,Multiplayer,Great Soundtrack,Team-Based,Fast-Paced,Co-op,Arcade,Local Co-Op,Local Multiplayer,Singleplayer,Action,Colorful,Adventure,Split Screen,Online Co-Op,Family Friendly,Funny,Memes,Anime,Casual","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Cloud",Racing,,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7 64 Bit or newer,Processor:,Intel Core i3 4130T (2.9GHz) / AMD FX 6300 (3.5 GHz),Memory:,4 GB RAM,Graphics:,Nvidia GeForce GTX 770 (2GB) / AMD Radeon HD 7870 (2GB),DirectX:,Version 11,Storage:,32 GB available space",$39.99 
titan quest anniversary edition,"Very Positive,(9,757),- 90% of the 9,757 user reviews for this game are positive.","Iron Lore Entertainment,THQ Nordic","THQ Nordic,THQ Nordic","RPG,Hack and Slash,Mythology,Action RPG,Loot,Multiplayer,Classic,Singleplayer,Co-op,Fantasy,Adventure,Action,Atmospheric,Isometric,Top-Down,Open World,Great Soundtrack,Story Rich,Level Editor,Female Protagonist","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Action,RPG",,"Minimum:,OS:,Windows XP / Vista / 7 / 8 / 10 32 or 64 bit,Processor:,2.0 GHz CPU,Memory:,1 GB RAM,Graphics:,128 MB NVIDIA GeForce 6800 series or ATI Radeon X800 series or equivalent,DirectX:,Version 9.0c,Storage:,5 GB available space,Sound Card:,DirectX compatible",$19.99 
grand theft auto iv,"Mixed,(43,799),- 63% of the 43,799 user reviews for this game are positive.","Rockstar North,Rockstar Toronto","Rockstar Games,Rockstar Games","Open World,Action,Bowling,Multiplayer,Third Person,Crime,Adventure,Third-Person Shooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,Dark Humor,Co-op,Gore,Satire","Single-player,Multi-player,Partial Controller Support","Action,Adventure",,,$19.99 
portal bundle,,Valve,Valve,,"Single-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Partial Controller Support,Steam Cloud,Stats,Includes level editor,Includes Source SDK,Commentary available","Action,Adventure",,,
portal,"Overwhelmingly Positive,(40,424),- 97% of the 40,424 user reviews for this game are positive.",Valve,"Valve,Valve","Puzzle,First-Person,Singleplayer,Sci-fi,Comedy,Female Protagonist,Funny,Physics,Action,Story Rich,Platformer,Classic,Science,FPS,Atmospheric,Short,Adventure,Masterpiece,Dark Humor,Great Soundtrack","Single-player,Steam Achievements,Captions available,Partial Controller Support,Includes level editor,Includes Source SDK,Commentary available",Action,,,$9.99 
viscera cleanup detail,"Very Positive,(5,414),- 92% of the 5,414 user reviews for this game are positive.",RuneStorm,"RuneStorm,RuneStorm","Simulation,Gore,First-Person,Multiplayer,Co-op,Physics,Funny,Indie,Sci-fi,Masterpiece,Comedy,Space,Horror,Singleplayer,Walking Simulator,Casual,Blood,Parody,Sandbox,Adventure","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Indie,Simulation",,"Minimum:,OS:,Win XP SP3, Win 7,Processor:,2.4GHz Dual core CPU,Memory:,4 GB RAM,Graphics:,512MB Shader Model 3.0 Nvidia GeForce 8800 GT or AMD Radeon HD 3870,DirectX:,Version 9.0c,Storage:,5 GB available space,Minimum:,OS:,OS X 10.8 - MacBook Pro 2013,Processor:,2.0GHz Intel i5 Dual Core,Memory:,4 GB RAM,Graphics:,Intel HD Graphics 5000 or Intel Iris,Storage:,5 GB available space,Additional Notes:,Please note: the Mac OS X version does NOT support various Steam functionality, including: Steam multiplayer connectivity, achievements or Workshop.",$12.99 
neverwinter nights: enhanced edition,"Mostly Positive,(1,094),- 74% of the 1,094 user reviews for this game are positive.",Beamdog,"Beamdog,Beamdog","RPG,Dungeons & Dragons,Fantasy,Classic,CRPG,Multiplayer,Singleplayer,Character Customization,Co-op,Story Rich,Real-Time with Pause,Adventure,Moddable,Female Protagonist,Cult Classic","Single-player,Online Multi-Player,Online Co-op,Steam Trading Cards,Steam Workshop,Includes level editor",RPG,,,$57.91 
ni no kuni™ ii: revenant kingdom,"Very Positive,(2,701),- 81% of the 2,701 user reviews for this game are positive.",Level-5,"BANDAI NAMCO Entertainment,BANDAI NAMCO Entertainment","RPG,JRPG,Anime,Adventure,Singleplayer,Open World,Fantasy,Story Rich,Cute,Great Soundtrack,Action RPG,Dungeon Crawler,Hack and Slash,Action,Strategy,City Builder,Cartoony,Multiplayer,Survival,Co-op","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Adventure,RPG",,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit,Processor:,Intel Core i5-4460 / AMD FX-6300,Memory:,4 GB RAM,Graphics:,NVIDIA GeForce GTX 750 Ti / AMD Radeon R7 260x (VRAM2GB or higher / VRAM2GB以上),DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,40 GB available space,Sound Card:,DirectX 11 sound device,Additional Notes:,Assuming that the game is running on 1280x720 30fps environment / 画面解像度1280x720 30fpsで動作想定",$59.99 
tree of savior (english ver.),"Mixed,(15,461),- 60% of the 15,461 user reviews for this game are positive.","IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.,IMCGAMES Co.,Ltd.","MMORPG,Massively Multiplayer,Free to Play,RPG,Anime,Fantasy,Adventure,Cute,Great Soundtrack,Action,Multiplayer,JRPG,Open World,Isometric,Nudity,Co-op,Action RPG,Hack and Slash,Memes,Dating Sim","MMO,Steam Trading Cards,In-App Purchases,Partial Controller Support,Valve Anti-Cheat enabled","Free to Play,Massively Multiplayer,RPG",,"Minimum:,OS:,Windows 7 (64-bit),Processor:,Intel i3,Memory:,8 GB RAM,Graphics:,NVIDIA GeForce 200 Series or later,DirectX:,Version 9.0c,Network:,Broadband Internet connection,Storage:,32 GB available space,Additional Notes:,Keyboard, Mouse",Free to Play
hellblade: senua's sacrifice,"Very Positive,(21,022),- 91% of the 21,022 user reviews for this game are positive.",Ninja Theory,"Ninja Theory,Ninja Theory","Atmospheric,Psychological,Female Protagonist,Story Rich,Mythology,Singleplayer,Dark,Adventure,Third Person,Horror,Dark Fantasy,Action,Violent,Indie,Hack and Slash,Fantasy,Walking Simulator,Realistic,Action-Adventure,Blood","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",,$29.99 
danganronpa 2: goodbye despair,"Overwhelmingly Positive,(4,612),- 96% of the 4,612 user reviews for this game are positive.","Spike Chunsoft Co., Ltd.,Abstraction Games","Spike Chunsoft Co., Ltd.,Spike Chunsoft Co., Ltd.","Anime,Detective,Visual Novel,Mystery,Story Rich,Great Soundtrack,Singleplayer,Adventure,Psychological Horror,Dark Comedy,Horror,Atmospheric,Memes,Puzzle,Comedy,Dark,Dating Sim,Mature,Funny,Walking Simulator","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Adventure,,"Minimum:,OS:,Windows 7,Processor:,2.8 GHz Intel Core 2 Duo or better,Memory:,3 GB RAM,Graphics:,OpenGL 3.2 compatible GPU with at least 1GB of VRAM,DirectX:,Version 9.0c,Storage:,5 GB available space,Additional Notes:,PS4 or Xbox 360 Controller or Direct Input compatible controller,Minimum:,OS:,Mac OS 10.7+,Processor:,2.8 GHz Intel Core 2 Duo or better,Memory:,3 GB RAM,Graphics:,OpenGL 3.2 compatible GPU with at least 1GB of VRAM,Storage:,5 GB available space,Minimum:,OS:,Ubuntu 14.04 or later,Processor:,2.8 GHz Intel Core 2 Duo or better,Memory:,3 GB RAM,Graphics:,OpenGL 3.2 compatible GPU with at least 1GB of VRAM,Storage:,5 GB available space",$19.99 
